ID,ADM1_MN,ADM2_PCODE,X,Y
1,Ulgii,MN83,89.958,48.969
2,Hovd,MN84,91.9822,48.321
3,Ulaangom,MN85,92.853,49.54
4,Uliastai,MN81,96.271,48.483
5,Altai,MN82,96.2552,46.3731
7,Tsetserleg,MN65,101.4578,47.4749
8,Hovsgol,MN67,100.3359,49.6054
9,Orhon,MN61,104.321,49.054
10,Ovorhangai,MN62,102.789,46.265
11,Mandalgovi,MN48,105.72,46.244
12,Omnogovi,MN46,404.428,43.564
13,Suhbaatar,MN43,106.2107,50.2318
14,Darhan,MN45,105.9446,49.48
15,Ulaanbaatar,MN11,106.9173,47.9189
16,Zuunmod,MN41,106.9532,47.7029
17,Choir,MN42,108.4745,46.3767
18,Sainshand,MN44,110.081,44.9737
19,Ondorhaan,MN23,110.6556,47.3271
20,BaruunUrt,MN22,113.192,46.7105
21,Choibalsan,MN21,114.5199,48.0709
22,Bulgan,MN63,103.5205,48.8239
23,Bayanhongor,MN64,100.129,46.696
